"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1717","test","con_right.jpg","congruent","right",20032345,"right",1,0,"cc",1.198,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1718","test","nogo_left.jpg","nogo","left",20032345,NA,1,1,"cx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1719","test","nogo_right.jpg","nogo","right",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1720","test","in_left.jpg","incongruent","left",20032345,"left",1,1,"xi",1.779,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1721","test","in_right.jpg","incongruent","right",20032345,"right",1,0,"ii",1.497,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1722","test","nogo_right.jpg","nogo","right",20032345,NA,1,1,"ix",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1723","test","nogo_right.jpg","nogo","right",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1724","test","in_right.jpg","incongruent","right",20032345,"right",1,1,"xi",1.513,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1725","test","in_left.jpg","incongruent","left",20032345,"left",1,0,"ii",1.698,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1726","test","nogo_right.jpg","nogo","right",20032345,NA,1,1,"ix",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
"1727","test","nogo_left.jpg","nogo","left",20032345,NA,1,0,"xx",-1,20032345,20032345,"child","5-year-olds","2023-03-20",67,"5 years, 7 months","m",3,"adc4","talked a lot and seemed impatient; had to recalibrate 2x; moved a lot","ok","no"
